互牌,存活4年8个月,2015/4/1,2019/12/19,体育运动,上海,不明确
微刷支付,存活4年6个月,2015/6/1,2019/12/19,金融,广东,尚未获投
品冻网,存活3年6个月,2016/6/1,2019/12/19,农业,湖南,尚未获投
盛开金融,存活5年1个月,2014/11/1,2019/12/19,金融,广东,尚未获投
耳伴,存活2年8个月,2017/4/1,2019/12/19,游戏,广东,尚未获投
互动科学院,存活12年9个月,2007/3/1,2019/12/19,教育,北京,天使轮
握爪,存活5年2个月,2014/10/1,2019/12/18,本地生活,上海,尚未获投
Coinbig,存活2年3个月,2017/9/1,2019/12/18,金融,江西,战略投资
非常创想,存活7年9个月,2012/3/1,2019/12/18,文娱传媒,北京,不明确
点心贷,存活5年11个月,2014/1/1,2019/12/18,金融,北京,B轮
安银网,存活4年11个月,2015/1/1,2019/12/18,金融,上海,不明确
借了么,存活3年10个月,2016/2/1,2019/12/18,金融,北京,尚未获投
房狐,存活5年8个月,2014/4/1,2019/12/18,房产服务,陕西,尚未获投
拿票门到门,存活4年11个月,2015/1/1,2019/12/18,旅游,北京,天使轮
炎炎云,存活1年9个月,2018/3/1,2019/12/18,金融,福建,尚未获投
云点纵横,存活7年1个月,2012/11/1,2019/12/18,企业服务,北京,天使轮
杰视眼镜,存活7年7个月,2012/5/1,2019/12/18,医疗健康,湖南,尚未获投
巴巴云智,存活3年1个月,2016/11/1,2019/12/18,智能硬件,广东,不明确
资源汇,存活3年9个月,2016/3/1,2019/12/18,工具软件,江西,种子轮
牛铒国际,存活6年11个月,2013/1/1,2019/12/18,企业服务,北京,不明确
互粉宝,存活1年10个月,2018/2/1,2019/12/18,文娱传媒,重庆,尚未获投
17爱,存活6年3个月,2013/9/1,2019/12/18,智能硬件,广东,不明确
有仓物流,存活4年3个月,2015/9/1,2019/12/18,物流,北京,天使轮
看到网,存活7年10个月,2012/2/1,2019/12/18,本地生活,北京,天使轮
广州友邻教育,存活9年4个月,2010/8/1,2019/12/18,教育,广东,天使轮
建飞无限,存活5年7个月,2014/5/1,2019/12/17,新工业,北京,A轮
